"Species_name","A_content","C_content","G_content","T_content","genome_length","G_plus_C","G_minus_C","A_plus_T","A_minus_T","GC_ratio","AT_ratio","GC_skew","AT_skew","id"
"Acheta domesticus densovirus",0.288307222009935,0.187428353076041,0.211119602598395,0.313144822315629,5234,0.398547955674436,0.0236912495223538,0.601452044325564,-0.0248376003056935,1.12640163098879,0.920683343502135,0.059443911792905,-0.0412960609911055,20
"Acholeplasma phage L2",0.356707062264939,0.148934391976598,0.170664437944003,0.323694107814459,11965,0.319598829920602,0.0217300459674049,0.680401170079398,0.0330129544504806,1.14590347923681,1.10198812290214,0.0679916317991632,0.048519837857757,21
"Achromobacter phage 83-24",0.220839555334329,0.275323544051767,0.27320806371329,0.230628836900614,48216,0.548531607765057,-0.00211548033847686,0.451468392234943,-0.00978928156628503,0.992316384180791,0.957553956834532,-0.00385662431941925,-0.0216832047041528,22
"Acidianus bottle-shaped virus",0.31506676744772,0.167926429831192,0.177710590409003,0.339212228101117,23814,0.345637020240195,0.00978416057781137,0.654278995548837,-0.0241454606533972,1.05826456614154,0.928819014607576,0.0283076175434334,-0.0369039214427829,23
"Acidianus filamentous virus 1",0.340505055345249,0.167042024054818,0.202357563850688,0.290095356749245,20869,0.369399587905506,0.0353155397958695,0.630600412094494,0.0504096985960036,1.21141709695927,1.17376940865543,0.0956025424828123,0.0799392097264438,24
"Acidianus rod-shaped virus 1",0.31218819712026,0.190833502332184,0.200446156966133,0.296532143581424,24655,0.391279659298317,0.0096126546339485,0.608720340701683,0.0156560535388359,1.05037194473964,1.05279715497196,0.0245672229708718,0.0257196162046908,25
"Acidianus spindle-shaped virus 1",0.32717274456297,0.172248408170016,0.204705201356156,0.295873645910858,24186,0.376953609526172,0.0324567931861407,0.623046390473828,0.0312990986521128,1.18843014882381,1.1057853549469,0.0861028847208511,0.0502355829849359,26
"Acidianus tailed spindle virus isolate 1",0.329336835564594,0.177921821160255,0.18618313280235,0.306558210472801,70812,0.364104953962605,0.00826131164209457,0.635895046037395,0.0227786250917923,1.0464322565283,1.07430440390639,0.0226893689640461,0.0358213595682782,27
"Acidianus two-tailed virus",0.286593336521601,0.209883628248047,0.202375259046708,0.301147776183644,62730,0.412258887294755,-0.00750836920133907,0.587741112705245,-0.0145544396620437,0.964226036761355,0.951670107458578,-0.0182127527937821,-0.0247633513249613,28
"Acidithiobacillus phage AcaML1",0.1745026,0.3241245,0.3305931,0.1707798,59363,0.6547176,0.006468676,0.3452824,0.003722858,1.019957,1.021799,0.009880101,0.01078207,29
"Acidovorax phage ACP17",0.228997766843058,0.297323411035251,0.290060851926978,0.183617970194713,156281,0.587384262962228,-0.00726255910827295,0.412615737037772,0.045379796648345,0.975573537640425,1.24714245887929,-0.0123642384827391,0.109980770423671,30
"Acinetobacter bacteriophage AP22",0.317157824390454,0.165692974324703,0.211740358290038,0.305408842994805,46387,0.377433332614741,0.0460473839653351,0.622566667385259,0.0117489813956496,1.27790788446526,1.03846968306628,0.122001370801919,0.0188718445929568,31
"Acinetobacter phage 133",0.296437444071063,0.203866058410148,0.192858617906021,0.306837879612768,159801,0.396724676316168,-0.011007440504127,0.603275323683832,-0.010400435541705,0.946006507459021,0.966104460261457,-0.0277457923876525,-0.0172399485498527,32
"Acinetobacter virus vB_AbaP_AGC01",0.310955349130509,0.172976643787441,0.221871892508064,0.294196114573986,41231,0.394848536295506,0.0488952487206228,0.605151463704494,0.016759234556523,1.28266965787998,1.05696619950536,0.123832923832924,0.0276942807903491,33
"Acinonyx jubatus papillomavirus type 1 isolate PAP10 E1 (E1) gene",0.321981424148607,0.164086687306502,0.253869969040248,0.260061919504644,323,0.417956656346749,0.0897832817337461,0.582043343653251,0.0619195046439628,1.54716981132075,1.23809523809524,0.214814814814815,0.106382978723404,34
"Acipenserid herpesvirus 1 isolate AciHV1 DNA polymerase gene",0.2932489,0.2489451,0.2067511,0.2510549,474,0.4556962,-0.04219409,0.5443038,0.04219409,0.8305085,1.168067,-0.09259259,0.07751938,35
"AcMNPV HR3 p6.9 gene, partial cds and p40, p12, and p45 genes",0.2524342,0.2145691,0.2246664,0.3083303,2773,0.4392355,0.01009737,0.5607645,-0.05589614,1.047059,0.8187135,0.02298851,-0.09967846,36
"Acomys herpesvirus SVMS 226,222 DNA polymerase gene",0.1645022,0.3463203,0.2813853,0.2077922,231,0.6277056,-0.06493506,0.3722944,-0.04329004,0.8125,0.7916667,-0.1034483,-0.1162791,37
"Actias selene nucleopolyhedrovirus isolate S1 lef-8 gene",0.2189781,0.2919708,0.2861314,0.2029197,685,0.5781022,-0.005839416,0.4218978,0.01605839,0.98,1.079137,-0.01010101,0.03806228,38
"Actinomyces phage Av-1",0.257410750684293,0.232135577427057,0.262885096965814,0.247568574922835,17171,0.495020674392872,0.0307495195387572,0.504979325607128,0.00984217576145829,1.13246362267938,1.03975535168196,0.0621176470588235,0.0194902548725638,39
"Actinophage PhiC31 DNA",0.2090032,0.3118971,0.3376206,0.1414791,311,0.6495177,0.02572347,0.3504823,0.06752412,1.082474,1.477273,0.03960396,0.1926606,40
"Actinophage R4 gene for ORF469 protein",0.1673275,0.3215702,0.3505155,0.1605868,2522,0.6720856,0.02894528,0.3279144,0.006740682,1.090012,1.041975,0.04306785,0.02055623,41
"Actinoplanes phage phiAsp2",0.158463794808827,0.347112793751492,0.356765237559262,0.137658173880419,58638,0.703878031310754,0.0096524438077697,0.296121968689246,0.0208056209284082,1.02780780190626,1.15113974231913,0.0137132335126229,0.0702603086846349,42
"Acyrthosiphon pisum bacteriophage APSE-1",0.283566969663783,0.207178841309824,0.231683276749535,0.277570912276859,36524,0.438862118059358,0.0245044354397109,0.561137881940642,0.00599605738692366,1.11827672789745,1.02160189386467,0.0558362967122091,0.0106855330568431,43
"Adelie penguin polyomavirus isolate AdPyV_Crozier_2012",0.237169206094627,0.263231756214916,0.260224538893344,0.239374498797113,4988,0.52345629510826,-0.00300721732157178,0.47654370489174,-0.00220529270248596,0.988575780654989,0.990787269681742,-0.0057449253159709,-0.00462768195204037,44
"Adenoviridae sp. isolate DNUS-Bat-Polymerase-Esp polymerase gene",0.357142857142857,0.150793650793651,0.182539682539683,0.30952380952381,504,0.333333333333333,0.0317460317460317,0.666666666666667,0.0476190476190476,1.21052631578947,1.15384615384615,0.0952380952380952,0.0714285714285714,45
"Adenovirus 11 E3 region encoding fiber protein gene",0.3079403,0.2632003,0.1704958,0.2583636,2481,0.4336961,-0.09270455,0.5663039,0.04957678,0.6477795,1.191888,-0.2137546,0.08754448,46
"Adenovirus 3 polypeptide IX gene",0.2423146,0.244123,0.2495479,0.2640145,553,0.4936709,0.005424955,0.5063291,-0.02169982,1.022222,0.9178082,0.01098901,-0.04285714,47
"Adenovirus clinical isolate",0.2421925,0.2568515,0.2848948,0.2160612,1569,0.5417463,0.02804334,0.4582537,0.02613129,1.109181,1.120944,0.05176471,0.05702364,48
"Adenovirus Hu/CUHKA4751/2008/HKG hexon gene",0.2382353,0.3352941,0.2029412,0.2235294,340,0.5382353,-0.1323529,0.4617647,0.01470588,0.6052632,1.065789,-0.2459016,0.03184713,49
"Adenovirus Hu/CUHKA5073/2008/HKG hexon gene",0.2264706,0.2764706,0.2088235,0.2882353,340,0.4852941,-0.06764706,0.5147059,-0.06176471,0.7553191,0.7857143,-0.1393939,-0.12,50
"Adenovirus Hu/CUHKA5330/2008/HKG hexon gene",0.25,0.2970588,0.2029412,0.25,340,0.5,-0.09411765,0.5,0,0.6831683,1,-0.1882353,0,51
"Adenovirus Hu/CUHKA5509/2008/HKG nonfunctional hexon gene",0.2359882,0.3362832,0.2035398,0.2241888,339,0.539823,-0.1327434,0.460177,0.01179941,0.6052632,1.052632,-0.2459016,0.02564103,52
"Adenovirus Hu/CUHKA6696/2008/HKG hexon gene",0.2264706,0.2764706,0.2088235,0.2882353,340,0.4852941,-0.06764706,0.5147059,-0.06176471,0.7553191,0.7857143,-0.1393939,-0.12,53
"Adenovirus Hu/CUHKA6807/2008/HKG hexon gene",0.2235294,0.2764706,0.2088235,0.2911765,340,0.4852941,-0.06764706,0.5147059,-0.06764706,0.7553191,0.7676768,-0.1393939,-0.1314286,54
"Adenovirus Hu/RJ/2006-08/Brazil/2006 hexon gene",0.1638418,0.3502825,0.3220339,0.1638418,177,0.6723164,-0.02824859,0.3276836,0,0.9193548,1,-0.04201681,0,55
"Adenovirus Hu/RJ/2006-13/Brazil/2006 hexon gene",0.1638418,0.3502825,0.3220339,0.1638418,177,0.6723164,-0.02824859,0.3276836,0,0.9193548,1,-0.04201681,0,56
"Adenovirus Hu/RJ/2008-317/Brazil/2008 hexon gene",0.1638418,0.3559322,0.3163842,0.1638418,177,0.6723164,-0.03954802,0.3276836,0,0.8888889,1,-0.05882353,0,57
"Adenovirus Hu/RJ/2008-320/Brazil/2008 hexon gene",0.1920904,0.3672316,0.2937853,0.1468927,177,0.6610169,-0.07344633,0.3389831,0.04519774,0.8,1.307692,-0.1111111,0.1333333,58
"Adenovirus Hu/RJ/2008-334/Brazil/2008 hexon gene",0.2090395,0.3276836,0.299435,0.1638418,177,0.6271186,-0.02824859,0.3728814,0.04519774,0.9137931,1.275862,-0.04504505,0.1212121,59
"Adenovirus Hu/RJ/2008-341/Brazil/2008 hexon gene",0.2090395,0.3276836,0.299435,0.1638418,177,0.6271186,-0.02824859,0.3728814,0.04519774,0.9137931,1.275862,-0.04504505,0.1212121,60
"Adenovirus Hu/RJ/2008-356/Brazil/2008 hexon gene",0.2033898,0.3389831,0.2937853,0.1638418,177,0.6327684,-0.04519774,0.3672316,0.03954802,0.8666667,1.241379,-0.07142857,0.1076923,61
"Adenovirus Lopburi057/2006/THA hexon gene",0.2334906,0.2900943,0.2028302,0.2735849,424,0.4929245,-0.08726415,0.5070755,-0.04009434,0.699187,0.8534483,-0.1770335,-0.07906977,62
"Adenovirus Lopburi070/2006/THA hexon gene",0.25,0.3372642,0.1957547,0.2169811,424,0.5330189,-0.1415094,0.4669811,0.03301887,0.5804196,1.152174,-0.2654867,0.07070707,63
"Adenovirus partial hexon gene",0.2213439,0.2964427,0.284585,0.1976285,253,0.5810277,-0.01185771,0.4189723,0.02371542,0.96,1.12,-0.02040816,0.05660377,64
"Adenovirus red squirrel/DEU/JK-2011 DNA polymerase gene",0.3548387,0.2679901,0.1687345,0.2084367,403,0.4367246,-0.09925558,0.5632754,0.146402,0.6296296,1.702381,-0.2272727,0.2599119,65
"Adenovirus sp. hexon gene",0.315315315315315,0.221621621621622,0.210810810810811,0.252252252252252,555,0.432432432432432,-0.0108108108108108,0.567567567567568,0.0630630630630631,0.951219512195122,1.25,-0.025,0.111111111111111,66
"Adenovirus squirrel/298/07-19/PT hexon gene",0.306469920544835,0.199394627317442,0.185017026106697,0.287552024214907,2643,0.384411653424139,-0.0143776012107454,0.594021944759743,0.0189178963299281,0.927893738140417,1.06578947368421,-0.0374015748031497,0.0318471337579618,67
"Adenovirus squirrel/96-29/KOR hexon gene",0.310522442972774,0.207505518763797,0.190213392200147,0.291758646063282,2718,0.397718910963944,-0.0172921265636498,0.602281089036056,0.0187637969094923,0.916666666666667,1.06431273644388,-0.0434782608695653,0.0311545510079413,68
"Adenovirus squirrel/GBR/SG-2012 isolate FS15/06 hexon gene",0.2631579,0.2807018,0.2412281,0.2149123,228,0.5219298,-0.03947368,0.4780702,0.04824561,0.859375,1.22449,-0.07563025,0.1009174,69
"Adenovirus type 1 genes encoding gp19K protein, 11.6K protein, 10.4K protein",0.2670455,0.2542614,0.1974432,0.28125,2112,0.4517045,-0.05681818,0.5482955,-0.01420455,0.7765363,0.9494949,-0.1257862,-0.02590674,70
"Adenovirus vector, packaging cell line",0.1926606,0.2415902,0.3547401,0.2110092,327,0.5963303,0.1131498,0.4036697,-0.01834862,1.468354,0.9130435,0.1897436,-0.04545455,71
"Adoxophyes honmai enomopoxvirus 'L'",0.396856830601093,0.104459016393443,0.105503825136612,0.393180327868852,228750,0.209962841530055,0.0010448087431694,0.790037158469945,0.00367650273224041,1.01000209248797,1.00935067822993,0.00497616023652375,0.00465358204082532,72
"Adoxophyes orana granulovirus",0.331908445969676,0.171568479886009,0.173344571881554,0.323178502262761,99657,0.344913051767563,0.00177609199554471,0.655086948232437,0.00872994370691471,1.0103520879635,1.02701276120098,0.00514939050999328,0.0133263893143802,73
"Aedes aegypti densovirus 2 strain 0814616",0.416048728813559,0.193591101694915,0.178760593220339,0.211599576271186,3776,0.372351694915254,-0.0148305084745763,0.627648305084746,0.204449152542373,0.923392612859097,1.96620775969962,-0.0398293029871977,0.325738396624473,74
"Aedes albopictus C6/36 cell densovirus non-structural protein 1 (NS-1), non-structural protein 2 (NS-2), and capsid protein (VP) genes",0.4245237,0.2015144,0.167318,0.2066439,4094,0.3688324,-0.03419638,0.6311676,0.2178798,0.830303,2.054374,-0.09271523,0.3452012,75
"Aedes sollicitans nucleopolyhedrovirus isolate Louisiana late expression factor 8 (lef-8) gene",0.2533632,0.264574,0.2690583,0.2130045,446,0.5336323,0.004484305,0.4663677,0.04035874,1.016949,1.189474,0.008403361,0.08653846,76
"Aeribacillus phage AP45",0.336317482463279,0.172131147540984,0.210595667170484,0.280955702825253,51606,0.382726814711468,0.0384645196295005,0.617273185288532,0.0553617796380266,1.22346054260948,1.19704807228085,0.100501240443522,0.0896876471511536,77
"Aerococcus phage vB_AviM_AVP",0.351875102760713,0.159432312452356,0.185619478947132,0.303073105839798,133806,0.345051791399489,0.026187166494776,0.654948208600511,0.0488019969209154,1.16425256644635,1.1610238453382,0.075893437296946,0.0745127573143457,78
"Aeromonas phage 13AhydR10PP",0.23124529564272,0.272915447018483,0.285125867692565,0.210713389646232,47828,0.558041314711048,0.0122104206740821,0.441958685288952,0.0205319059964874,1.0447406726423,1.09743996824767,0.021880854252529,0.046456618412338,79
"Aeromonas salmonicida bacteriophage 25",0.2873324,0.210788,0.1996098,0.3022697,161475,0.4103979,-0.0111782,0.5896021,-0.0149373,0.9469695,0.9505829,-0.02723747,-0.02533454,80
"Aeropyrum pernix bacilliform virus 1 DNA, segment 1",0.237779461917393,0.239484653277757,0.289882531261842,0.232853353543009,5278,0.529367184539598,0.0503978779840849,0.470632815460402,0.00492610837438426,1.21044303797468,1.02115541090317,0.0952040085898354,0.0104669887278583,81
"AF039870 Bacteriophage T5 DNA Escherichia virus T5 genomic",0.2604563,0.1844106,0.1958175,0.3479087,526,0.3802281,0.01140684,0.608365,-0.08745247,1.061856,0.7486339,0.03,-0.14375,82
"AF039881 Bacteriophage T5 DNA Escherichia virus T5 genomic",0.3384615,0.1769231,0.225641,0.2589744,390,0.4025641,0.04871795,0.5974359,0.07948718,1.275362,1.306931,0.1210191,0.1330472,83
"AF056247 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.68.r",0.3314121,0.1873199,0.1974063,0.2377522,694,0.3847262,0.01008646,0.5691643,0.09365994,1.053846,1.393939,0.02621723,0.164557,84
"AF056248 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.22.a.f",0.2679901,0.1960298,0.162531,0.2580645,806,0.3585608,-0.03349876,0.5260546,0.009925558,0.8291139,1.038462,-0.09342561,0.01886792,85
"AF056249 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.22.a.R",0.2934783,0.2142857,0.1413043,0.2251553,644,0.3555901,-0.07298137,0.5186335,0.06832298,0.6594203,1.303448,-0.2052402,0.1317365,86
"AF056250 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.41.f",0.2796053,0.1825658,0.2236842,0.2483553,608,0.40625,0.04111842,0.5279605,0.03125,1.225225,1.125828,0.1012146,0.05919003,87
"AF056251 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.44.R",0.3172414,0.2,0.137931,0.337931,290,0.337931,-0.06206897,0.6551724,-0.02068966,0.6896552,0.9387755,-0.1836735,-0.03157895,88
"AF056252 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.48.F",0.2428571,0.2171429,0.2,0.3314286,350,0.4171429,-0.01714286,0.5742857,-0.08857143,0.9210526,0.7327586,-0.04109589,-0.1542289,89
"AF056253 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.48.R",0.1857143,0.2714286,0.2190476,0.2571429,210,0.4904762,-0.05238095,0.4428571,-0.07142857,0.8070175,0.7222222,-0.1067961,-0.1612903,90
"AF056254 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.49.F",0.2428571,0.22,0.16,0.3514286,350,0.38,-0.06,0.5942857,-0.1085714,0.7272727,0.6910569,-0.1578947,-0.1826923,91
"AF056255 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.49.R",0.1888889,0.1777778,0.2611111,0.2666667,180,0.4388889,0.08333333,0.4555556,-0.07777778,1.46875,0.7083333,0.1898734,-0.1707317,92
"AF056256 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.52.F",0.3090659,0.217033,0.1662088,0.2870879,728,0.3832418,-0.05082418,0.5961538,0.02197802,0.7658228,1.076555,-0.1326165,0.03686636,93
"AF056257 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.52.R",0.30625,0.1671875,0.1890625,0.3109375,640,0.35625,0.021875,0.6171875,-0.0046875,1.130841,0.9849246,0.06140351,-0.007594937,94
"AF056258 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.53.f",0.3166667,0.1333333,0.2833333,0.2333333,120,0.4166667,0.15,0.55,0.08333333,2.125,1.357143,0.36,0.1515152,95
"AF056259 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.53.R",0.2857143,0.1428571,0.1142857,0.45,140,0.2571429,-0.02857143,0.7357143,-0.1642857,0.8,0.6349206,-0.1111111,-0.223301,96
"AF056260 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.55.f",0.3076923,0.1910256,0.1730769,0.2833333,780,0.3641026,-0.01794872,0.5910256,0.02435897,0.9060403,1.085973,-0.04929577,0.04121475,97
"AF056261 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.2FR",0.2718254,0.2222222,0.1845238,0.3095238,504,0.406746,-0.03769841,0.5813492,-0.03769841,0.8303571,0.8782051,-0.09268293,-0.06484642,98
"AF056262 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.43fr.66f",0.303989,0.215956,0.2049519,0.2530949,727,0.4209078,-0.01100413,0.5570839,0.05089409,0.9490446,1.201087,-0.02614379,0.09135802,99
"AF056263 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.68F55r",0.2863071,0.2060858,0.1590595,0.2766252,723,0.3651452,-0.04702628,0.5629322,0.009681881,0.7718121,1.035,-0.1287879,0.01719902,100
"AF056264 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.56f",0.2973373,0.2130178,0.1923077,0.2529586,676,0.4053254,-0.02071006,0.5502959,0.0443787,0.9027778,1.175439,-0.05109489,0.08064516,101
"AF056266 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.59f",0.2900506,0.2107926,0.1618887,0.3136594,593,0.3726813,-0.04890388,0.6037099,-0.02360877,0.768,0.9247312,-0.1312217,-0.03910615,103
"AF056267 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.59r",0.3116883,0.2152134,0.2077922,0.2560297,539,0.4230056,-0.00742115,0.567718,0.05565863,0.9655172,1.217391,-0.01754386,0.09803922,104
"AF056268 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.60f",0.2991453,0.1680912,0.2022792,0.3133903,351,0.3703704,0.03418803,0.6125356,-0.01424501,1.20339,0.9545455,0.09230769,-0.02325581,105
"AF056269 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.60r",0.2930514,0.2054381,0.1873112,0.2990937,331,0.3927492,-0.01812689,0.592145,-0.006042296,0.9117647,0.979798,-0.04615385,-0.01020408,106
"AF056270 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.64f",0.3383743,0.1871456,0.1758034,0.2911153,529,0.362949,-0.01134216,0.6294896,0.04725898,0.9393939,1.162338,-0.03125,0.07507508,107
"AF056271 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.23.66r",0.3060201,0.2123746,0.1755853,0.2876254,598,0.3879599,-0.0367893,0.5936455,0.01839465,0.8267717,1.063953,-0.09482759,0.03098592,108
"AF056272 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.47fr.mac10/7",0.3060201,0.2123746,0.1755853,0.2876254,598,0.3879599,-0.0367893,0.5936455,0.01839465,0.8267717,1.063953,-0.09482759,0.03098592,109
"AF056273 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.54fr",0.2715026,0.2134715,0.1917098,0.2725389,965,0.4051813,-0.02176166,0.5440415,-0.001036269,0.8980583,0.9961977,-0.05370844,-0.001904762,110
"AF056274 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.57r64r",0.2824207,0.20317,0.1469741,0.2925072,694,0.3501441,-0.05619597,0.574928,-0.01008646,0.7234043,0.9655172,-0.1604938,-0.01754386,111
"AF056275 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.mac11/14-24",0.2896552,0.1862069,0.2149425,0.2471264,870,0.4011494,0.02873563,0.5367816,0.04252874,1.154321,1.172093,0.07163324,0.07922912,112
"AF056276 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.mac12/9-9",0.2866894,0.1825939,0.2372014,0.2764505,586,0.4197952,0.05460751,0.5631399,0.01023891,1.299065,1.037037,0.1300813,0.01818182,113
"AF056277 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.mac16/19-33",0.2793367,0.2359694,0.1811224,0.2869898,784,0.4170918,-0.05484694,0.5663265,-0.007653061,0.7675676,0.9733333,-0.1314985,-0.01351351,114
"AF056278 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.mac16/19.33",0.2793367,0.2359694,0.1811224,0.2869898,784,0.4170918,-0.05484694,0.5663265,-0.007653061,0.7675676,0.9733333,-0.1314985,-0.01351351,115
"AF056279 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.mac18/21.34",0.2868048,0.2137405,0.176663,0.3184297,917,0.3904035,-0.03707743,0.6052345,-0.03162486,0.8265306,0.9006849,-0.09497207,-0.05225225,116
"AF056280 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.mac3",0.2281553,0.1456311,0.315534,0.1747573,206,0.461165,0.1699029,0.4029126,0.05339806,2.166667,1.305556,0.3684211,0.1325301,117
"AF056281 Bacteriophage BF23 DNA Escherichia virus BF23 genomic clone BF23.mac5/6.1",0.2414654,0.1656953,0.1923397,0.2289759,1201,0.358035,0.02664446,0.4704413,0.01248959,1.160804,1.054545,0.0744186,0.02654867,118
"AF079492 Rhesus cytomegalovirus 68-1 Macacine betaherpesvirus 3 genomic",0.305026,0.2582322,0.2079723,0.2287695,577,0.4662045,-0.05025997,0.5337955,0.0762565,0.8053691,1.333333,-0.1078067,0.1428571,119
